pruning unstructured, pruning structured, accuracy, accuracy fine tuned, score 
0.5,0.2,29.3,91.52,1.5
0.525,0.2,30.46,91.34,1.495
0.55,0.2,29.37,91.46,1.4900000000000002
0.575,0.2,32.32,91.21,1.485
0.6,0.2,26.16,91.33,1.48
0.625,0.2,23.14,91.28,1.475
0.65,0.2,18.15,91.24,1.4700000000000002
0.675,0.2,18.05,91.08,1.465
0.7,0.2,18.78,91.7,1.46
0.725,0.2,20.82,91.65,1.455
0.75,0.2,17.09,91.49,1.4500000000000002
0.775,0.2,10.39,91.04,1.445
0.8,0.2,10.41,91.04,1.44
0.825,0.2,10.0,91.24,1.435
0.8500000000000001,0.2,10.0,90.45,1.4300000000000002
0.875,0.2,10.0,88.6,1.425
0.9,0.2,10.0,86.33,1.42
0.925,0.2,10.0,80.62,1.415
0.95,0.2,10.0,67.65,1.4100000000000001
0.9750000000000001,0.2,10.0,43.11,1.405
1.0,0.2,10.0,10.0,1.4000000000000001
0.5,0.26,14.08,91.14,1.35
0.525,0.26,12.58,91.1,1.3435
0.55,0.26,15.46,91.12,1.337
0.575,0.26,16.44,91.16,1.3305
0.6,0.26,18.55,91.32,1.3239999999999998
0.625,0.26,19.21,91.09,1.3175
0.65,0.26,18.34,91.17,1.311
0.675,0.26,23.67,91.11,1.3045
0.7,0.26,18.88,91.08,1.298
0.725,0.26,17.03,91.03,1.2915
0.75,0.26,10.04,91.05,1.285
0.775,0.26,10.29,91.08,1.2785
0.8,0.26,10.0,90.69,1.272
0.825,0.26,10.0,90.06,1.2654999999999998
0.8500000000000001,0.26,10.0,88.58,1.259
0.875,0.26,10.0,86.06,1.2525
0.9,0.26,10.0,84.09,1.246
0.925,0.26,10.0,77.42,1.2395
0.95,0.26,10.0,64.34,1.233
0.9750000000000001,0.26,10.0,41.39,1.2265
1.0,0.26,10.0,10.0,1.22
0.5,0.32,10.0,91.07,1.1999999999999997
0.525,0.32,10.05,91.27,1.1919999999999997
0.55,0.32,10.16,91.2,1.1839999999999997
0.575,0.32,10.0,91.15,1.176
0.6,0.32,10.0,91.14,1.168
0.625,0.32,10.02,90.99,1.1599999999999997
0.65,0.32,9.87,91.0,1.152
0.675,0.32,10.0,90.94,1.144
0.7,0.32,10.03,90.83,1.136
0.725,0.32,15.55,90.91,1.128
0.75,0.32,10.0,90.63,1.1199999999999999
0.775,0.32,10.04,90.34,1.1119999999999999
0.8,0.32,10.0,89.27,1.1039999999999999
0.825,0.32,10.0,88.5,1.0959999999999999
0.8500000000000001,0.32,10.0,86.86,1.0879999999999999
0.4,0.38,10.0,90.44,1.088
0.42500000000000004,0.38,10.0,90.23,1.0785
0.45,0.38,10.0,90.51,1.069
0.47500000000000003,0.38,10.0,90.52,1.0594999999999999
0.5,0.38,10.01,90.48,1.05
0.525,0.38,9.95,90.37,1.0405
0.55,0.38,9.7,90.31,1.031
0.5750000000000001,0.38,10.0,90.35,1.0215
0.6000000000000001,0.38,10.0,90.25,1.012
0.625,0.38,10.0,90.11,1.0025
0.65,0.38,10.0,89.93,0.993
0.675,0.38,10.03,89.74,0.9835
0.7000000000000001,0.38,10.01,89.74,0.974
0.7250000000000001,0.38,10.0,89.44,0.9644999999999999
0.75,0.38,10.0,89.09,0.955
0.775,0.38,10.0,88.56,0.9455
0.8,0.38,10.0,86.95,0.9359999999999999
0.4,0.44,10.0,89.32,0.9440000000000001
0.42500000000000004,0.44,10.0,89.21,0.933
0.45,0.44,10.0,89.31,0.9220000000000002
0.47500000000000003,0.44,10.0,89.05,0.911
0.5,0.44,10.0,89.04,0.9000000000000001
0.525,0.44,11.04,89.0,0.8890000000000001
0.55,0.44,10.0,88.84,0.8780000000000001
0.5750000000000001,0.44,10.0,88.76,0.867
0.6000000000000001,0.44,10.0,88.88,0.8560000000000001
