pruning structured, accuracy, accuracy fine tuned, score 
0.1,33.49,93.48,1.9
0.13745833333333335,17.39,93.08,1.8625416666666665
0.17491666666666666,22.88,92.95,1.8250833333333334
0.212375,14.74,92.55,1.787625
0.24983333333333335,10.21,92.11,1.7501666666666666
0.2872916666666667,10.0,91.81,1.7127083333333333
0.32475,10.0,91.28,1.6752500000000001
0.36220833333333335,10.0,90.62,1.6377916666666668
0.3996666666666667,10.0,90.73,1.6003333333333334
0.437125,10.0,89.79,1.562875
0.47458333333333336,10.0,88.75,1.5254166666666666
0.5120416666666667,10.0,87.0,1.4879583333333333
0.5495,10.0,85.02,1.4505
0.5869583333333334,10.0,82.63,1.4130416666666665
0.6244166666666667,10.0,75.31,1.3755833333333332
0.661875,10.0,67.46,1.338125
0.6993333333333334,10.0,59.44,1.3006666666666666
0.7367916666666667,10.0,52.2,1.2632083333333333
0.77425,12.66,47.87,1.2257500000000001
0.8117083333333334,10.0,47.77,1.1882916666666665
0.8491666666666667,10.0,41.42,1.1508333333333334
0.886625,10.0,38.64,1.113375
0.9240833333333334,10.0,31.93,1.0759166666666666
0.9615416666666667,10.0,25.85,1.0384583333333333
0.999,10.0,10.0,1.001
